agent_id,episode_id,training_step,success,end_reason,mean_goal_velocity,goal_velocity_variance,goal_velocity_acceleration_variance,goal_velocity_jerk,rotation_variance,action_entropy,repeated_action_ratio,policy_smoothness,control_samples,mean_angular_speed
Agent,77,9346,1,goal,2.9525,29.5954,2.4738,0.4756,0.0000,1.5822,0.8571,3.6364,84.0000,0.0000
Agent,78,9495,1,goal,0.8201,10.8327,0.8353,0.2314,0.0000,1.5499,0.8859,3.0625,149.0000,0.0000
Agent,79,9615,1,goal,1.1624,14.3114,1.2668,0.2148,0.0000,1.4549,0.8750,2.9286,120.0000,0.0000
Agent,80,9671,1,goal,4.2320,34.9099,2.6265,0.4499,0.0000,1.1583,0.9286,3.0000,56.0000,0.0000
Agent,81,12418,1,goal,0.0609,4.7630,0.3380,0.0499,0.0000,1.7784,0.8697,2.5938,2747.0000,0.0000
Agent,82,12487,1,goal,-1.1685,3.7715,0.7216,0.3175,0.0000,1.3110,0.8406,2.9000,69.0000,0.0000
Agent,83,12576,1,goal,5.2438,69.6200,0.8789,0.2523,0.0000,1.5529,0.8764,3.4000,89.0000,0.0000
Agent,84,12697,1,goal,-0.2545,1.8104,0.1409,0.0944,0.0000,1.7756,0.8843,2.6923,121.0000,0.0000
Agent,85,12791,1,goal,3.3807,28.0069,1.3577,0.2820,0.0000,1.3351,0.8723,3.9091,94.0000,0.0000
Agent,86,12855,1,goal,5.9656,69.1696,2.4246,0.3946,0.0000,1.3577,0.8906,3.5000,64.0000,0.0000
Agent,87,12946,1,goal,3.4593,44.4724,0.7558,0.1773,0.0000,1.2285,0.8791,2.9000,91.0000,0.0000
Agent,88,13148,1,goal,1.2003,27.1345,1.1793,0.2661,0.0000,1.5804,0.8762,2.7083,202.0000,0.0000
Agent,89,13259,1,goal,2.3461,44.3673,1.8374,0.4357,0.0000,1.5080,0.8829,3.4167,111.0000,0.0000
Agent,90,13356,1,goal,3.5628,33.3400,1.8260,0.3803,0.0000,1.5133,0.8866,3.3000,97.0000,0.0000
Agent,91,13398,1,goal,1.2494,3.8422,1.1407,0.3992,0.0000,1.2082,0.8571,3.4000,42.0000,0.0000
Agent,92,13471,1,goal,2.6569,36.9673,5.3653,0.5718,0.0000,1.3204,0.9041,2.5000,73.0000,0.0000
Agent,93,13623,1,goal,1.1060,18.9564,2.5135,0.2699,0.0000,1.7457,0.8816,3.0000,152.0000,0.0000
Agent,94,13674,1,goal,5.6891,39.1818,4.0438,0.7661,0.0000,0.9535,0.9020,2.7500,51.0000,0.0000
Agent,95,13717,1,goal,8.2374,56.9845,4.8262,0.8225,0.0000,0.8078,0.8605,2.6000,43.0000,0.0000
Agent,96,13802,1,goal,3.4985,25.4106,1.8505,0.4194,0.0000,1.5606,0.8824,1.8889,85.0000,0.0000
Agent,97,13938,1,goal,4.3774,108.8725,1.3673,0.2724,0.0000,1.4855,0.8971,3.4615,136.0000,0.0000
Agent,98,14112,1,goal,3.2310,25.4998,1.9349,0.3518,0.0000,1.6844,0.8908,3.3333,174.0000,0.0000
Agent,99,14158,1,goal,7.7706,79.4519,4.9431,0.7612,0.0000,1.0022,0.8696,3.4000,46.0000,0.0000
Agent,100,14217,1,goal,7.9905,48.1469,6.0974,0.9550,0.0000,1.3749,0.8305,3.4444,59.0000,0.0000
Agent,101,14267,1,goal,2.2481,13.5560,1.4785,0.3586,0.0000,0.8156,0.9000,5.2500,50.0000,0.0000
Agent,102,14391,1,goal,0.4945,1.5172,0.4293,0.1747,0.0000,1.1530,0.9032,3.2727,124.0000,0.0000
Agent,103,14491,1,goal,3.1069,43.3541,0.7244,0.1608,0.0000,1.6837,0.8600,2.2308,100.0000,0.0000
Agent,104,14547,1,goal,3.9581,23.6197,4.0915,0.5588,0.0000,1.4020,0.8750,3.3333,56.0000,0.0000
Agent,105,14599,1,goal,7.2168,98.3546,5.1084,0.6532,0.0000,1.2978,0.9038,2.7500,52.0000,0.0000
Agent,106,14685,1,goal,5.0979,52.5407,2.2483,0.4710,0.0000,1.4129,0.8837,2.3333,86.0000,0.0000
Agent,107,14801,1,goal,2.8986,29.9621,1.0879,0.2272,0.0000,1.6841,0.8966,2.6364,116.0000,0.0000
Agent,108,14940,1,goal,1.1735,8.7128,1.1043,0.3056,0.0000,1.5744,0.9065,1.7500,139.0000,0.0000
