agent_id,episode_id,training_step,success,end_reason,episode_reward,episode_length,time_to_goal,start_block_goal_distance,final_block_goal_distance,normalized_block_progress,final_goal_error,start_block_x,start_block_y,start_block_z,end_block_x,end_block_y,end_block_z,goal_x,goal_y,goal_z
Agent,74,353202,0,timeout,-0.9999,5000,-1,13.7829,16.8244,-0.2207,16.8244,5.0628,1.0000,2.2779,12.1263,0.3750,1.1553,0.0000,-0.0300,-10.5000
Agent,75,358202,0,timeout,-0.9999,5000,-1,10.6432,11.1018,-0.0431,11.1018,-4.2730,1.0000,0.8068,9.4648,0.3750,4.7117,0.0000,-0.0300,10.5000
Agent,76,358268,1,goal,4.9868,66,66,8.1126,5.5827,0.3118,5.5827,-4.6251,1.0000,3.9151,-4.9662,0.3750,7.9821,0.0000,-0.0300,10.5000
Agent,77,359669,1,goal,4.7198,1401,1401,12.4472,2.9392,0.7639,2.9392,3.0994,1.0000,-1.5111,-1.4685,0.3750,7.9864,0.0000,-0.0300,10.5000
Agent,78,364669,0,timeout,-0.9999,5000,-1,15.1855,16.1410,-0.0629,16.1410,0.2863,1.0000,-4.6478,1.5793,0.3750,-5.5585,0.0000,-0.0300,10.5000
Agent,79,364752,1,goal,4.9834,83,83,5.1303,2.5606,0.5009,2.5606,-5.6763,1.0000,1.4110,-7.9774,0.3750,-0.1704,-10.5000,-0.0300,0.0000
Agent,80,369752,0,timeout,-0.9999,5000,-1,11.7276,13.3462,-0.1380,13.3462,0.4546,1.0000,5.9636,0.9047,0.3750,9.2675,10.5000,-0.0300,0.0000
Agent,81,374752,0,timeout,-0.9999,5000,-1,7.6537,12.6317,-0.6504,12.6317,-5.9319,1.0000,5.7745,-8.4502,0.3750,1.1197,0.0000,-0.0300,10.5000
Agent,82,379752,0,timeout,-0.9999,5000,-1,9.8871,10.6957,-0.0818,10.6957,1.8653,1.0000,4.7047,1.3926,0.3750,5.5935,10.5000,-0.0300,0.0000
Agent,83,384752,0,timeout,-0.9999,5000,-1,16.4842,16.4570,0.0017,16.4570,4.1961,1.0000,5.4079,4.1961,0.3750,5.4079,0.0000,-0.0300,-10.5000
Agent,84,389752,0,timeout,-0.9999,5000,-1,15.7135,15.6718,0.0027,15.6718,-5.1585,1.0000,0.8154,-5.1077,0.3750,1.3575,10.5000,-0.0300,0.0000
Agent,85,394752,0,timeout,-0.9999,5000,-1,16.6753,20.5033,-0.2296,20.5033,1.1594,1.0000,6.1031,8.0356,0.3750,8.3586,0.0000,-0.0300,-10.5000
Agent,86,398493,1,goal,4.2518,3741,3741,14.3929,2.5588,0.8222,2.5588,-3.0389,1.0000,4.7743,7.9735,0.3750,-0.0142,10.5000,-0.0300,0.0000
Agent,87,403493,0,timeout,-0.9999,5000,-1,13.7494,18.2645,-0.3284,18.2645,-2.9873,1.0000,2.4650,-3.1525,0.3750,12.1258,10.5000,-0.0300,0.0000
Agent,88,408493,0,timeout,-0.9999,5000,-1,7.5613,7.1432,0.0553,7.1432,-2.3866,1.0000,3.3996,-6.0239,0.3750,6.6825,0.0000,-0.0300,10.5000
Agent,89,413493,0,timeout,-0.9999,5000,-1,9.9014,9.2376,0.0670,9.2376,-1.6294,1.0000,-4.2764,-6.4475,0.3750,-8.2913,-10.5000,-0.0300,0.0000
Agent,90,418493,0,timeout,-0.9999,5000,-1,14.0490,24.4334,-0.7392,24.4334,6.1814,1.0000,-2.0739,9.2136,0.3750,-12.1260,0.0000,-0.0300,10.5000
Agent,91,418796,1,goal,4.9394,303,303,8.3773,7.1543,0.1460,7.1543,2.0378,1.0000,-2.4399,6.6818,0.3750,-7.9757,0.0000,-0.0300,-10.5000
Agent,92,418995,1,goal,4.9602,199,199,6.0025,3.1791,0.4704,3.1791,-1.2698,1.0000,-4.7244,1.9087,0.3750,-7.9901,0.0000,-0.0300,-10.5000
Agent,93,423995,0,timeout,-0.9999,5000,-1,13.2878,4.6626,0.6491,4.6626,1.0152,1.0000,2.7088,2.4839,0.3750,-6.5750,0.0000,-0.0300,-10.5000
Agent,94,428995,0,timeout,-0.9999,5000,-1,7.4976,13.1229,-0.7503,13.1229,-4.5565,1.0000,-4.6355,-8.7582,0.3750,-0.7357,0.0000,-0.0300,-10.5000
Agent,95,433995,0,timeout,-0.9999,5000,-1,6.4488,13.7227,-1.1279,13.7227,1.2048,1.0000,4.2490,6.9832,0.3750,-1.3062,0.0000,-0.0300,10.5000
Agent,96,438995,0,timeout,-0.9999,5000,-1,15.9749,18.0591,-0.1305,18.0591,-3.7053,1.0000,-5.0051,-5.3169,0.3750,-6.7539,0.0000,-0.0300,10.5000
Agent,97,440620,1,goal,4.6750,1625,1625,8.6647,4.1287,0.5235,4.1287,-1.9156,1.0000,-0.5696,-7.9883,0.3750,-3.2516,-10.5000,-0.0300,0.0001
Agent,98,445620,0,timeout,-0.9999,5000,-1,11.3233,11.3500,-0.0024,11.3500,1.2569,1.0000,0.7061,-7.8924,0.3750,-2.3533,0.0000,-0.0300,-10.5000
Agent,99,450620,0,timeout,-0.9999,5000,-1,15.3526,13.7559,0.1040,13.7559,-4.8098,1.0000,0.5039,-0.2987,0.3750,8.5116,10.5000,-0.0300,0.0000
Agent,100,455620,0,timeout,-0.9999,5000,-1,10.1933,11.8046,-0.1581,11.8046,-0.6851,1.0000,-2.5514,-7.2672,0.3750,-11.3460,-10.5000,-0.0300,0.0001
Agent,101,460620,0,timeout,-0.9999,5000,-1,7.2579,14.6819,-1.0229,14.6819,3.3693,1.0000,0.8774,-4.1551,0.3750,-0.7897,10.5000,-0.0300,-0.0001
Agent,102,465620,0,timeout,-0.9999,5000,-1,13.7993,15.7429,-0.1408,15.7429,-1.7153,1.0000,3.1535,12.1258,0.3750,-0.4682,-0.0001,-0.0300,-10.5000
Agent,103,470620,0,timeout,-0.9999,5000,-1,16.1137,14.4476,0.1034,14.4476,5.1283,1.0000,-3.7875,0.8322,0.3750,-8.9526,-10.5000,-0.0300,0.0001
Agent,104,475620,0,timeout,-0.9999,5000,-1,11.8357,13.7754,-0.1639,13.7754,-2.4396,1.0000,-1.0356,-9.5416,0.3750,0.5726,0.0001,-0.0300,10.5000
Agent,105,480620,0,timeout,-0.9999,5000,-1,13.0280,17.5706,-0.3487,17.5706,-2.7641,1.0000,-2.1897,-1.7136,0.3750,-6.9822,0.0001,-0.0300,10.5000
Agent,106,485620,0,timeout,-0.9999,5000,-1,14.8518,20.7672,-0.3983,20.7672,-3.8261,1.0000,3.7784,-6.3540,0.3750,12.1265,10.5000,-0.0300,-0.0001
Agent,107,490620,0,timeout,-0.9999,5000,-1,7.7894,25.0827,-2.2201,25.0827,2.7884,1.0000,-0.3823,-12.1259,0.3750,-10.8187,10.5000,-0.0300,-0.0001
Agent,108,495620,0,timeout,-0.9999,5000,-1,7.5278,3.6672,0.5128,3.6672,-4.9547,1.0000,4.9271,0.9531,0.3750,6.9821,0.0001,-0.0300,10.5000
Agent,109,500620,0,timeout,-0.9999,5000,-1,17.4516,17.4259,0.0015,17.4259,-6.2003,1.0000,5.7805,-6.2003,0.3750,5.7805,-0.0001,-0.0300,-10.5000
Agent,110,505620,0,timeout,-0.9999,5000,-1,16.3637,17.9366,-0.0961,17.9366,-4.3491,1.0000,-5.2415,-8.2783,0.3750,-5.4067,0.0001,-0.0300,10.5000
Agent,111,510620,0,timeout,-0.9999,5000,-1,13.0238,17.5388,-0.3467,17.5388,6.0857,1.0000,-0.9684,-9.0731,0.3750,-4.5041,0.0001,-0.0300,10.5000
Agent,112,515620,0,timeout,-0.9999,5000,-1,5.1401,7.1036,-0.3820,7.1036,5.6430,1.0000,-1.3303,5.9959,0.3750,-5.4783,10.5000,-0.0300,-0.0001
Agent,113,520620,0,timeout,-0.9999,5000,-1,11.5708,21.2454,-0.8361,21.2454,-0.1582,1.0000,-4.3848,-6.9912,0.3750,12.0524,10.5000,-0.0300,-0.0001
Agent,114,525620,0,timeout,-0.9999,5000,-1,11.7040,13.8362,-0.1822,13.8362,1.1028,1.0000,1.1400,-3.8458,0.3750,12.1243,-10.5000,-0.0300,0.0001
Agent,115,530620,0,timeout,-0.9999,5000,-1,9.4554,9.4079,0.0050,9.4079,3.0079,1.0000,5.6756,3.0079,0.3750,5.6756,10.5000,-0.0300,-0.0001
Agent,116,535620,0,timeout,-0.9999,5000,-1,8.1077,9.5069,-0.1726,9.5069,2.6150,1.0000,-1.5811,3.9008,0.3750,-6.8314,10.5000,-0.0300,-0.0001
Agent,117,540620,0,timeout,-0.9999,5000,-1,10.6992,8.6013,0.1961,8.6013,-0.3191,1.0000,3.1243,-4.3088,0.3750,-5.9571,-10.5000,-0.0300,0.0001
Agent,118,545620,0,timeout,-0.9999,5000,-1,11.5415,11.5635,-0.0019,11.5635,0.4454,1.0000,-5.5723,4.0829,0.3750,-9.6110,10.5000,-0.0300,-0.0001
Agent,119,550620,0,timeout,-0.9999,5000,-1,14.0543,12.5719,0.1055,12.5719,2.7573,1.0000,-4.5504,1.0277,0.3750,-5.0000,-10.5000,-0.0300,0.0001
