agent_id,episode_id,training_step,success,end_reason,start_block_goal_distance,final_block_goal_distance,normalized_block_progress,progress_rate,final_goal_error
Agent,115,15731,1,goal,12.2459,5.5249,0.5488,0.0049,5.5249
Agent,116,15774,1,goal,9.9093,2.4901,0.7487,0.0174,2.4901
Agent,117,15871,1,goal,10.5263,2.7007,0.7434,0.0077,2.7007
Agent,118,15952,1,goal,11.7209,11.5449,0.0150,0.0002,11.5449
Agent,119,16126,1,goal,16.8866,11.7512,0.3041,0.0017,11.7512
Agent,120,16206,1,goal,6.9879,2.5595,0.6337,0.0079,2.5595
Agent,121,16260,1,goal,7.2954,4.8718,0.3322,0.0062,4.8718
Agent,122,16339,1,goal,14.0669,7.6426,0.4567,0.0058,7.6426
Agent,123,16411,1,goal,10.0682,2.6060,0.7412,0.0103,2.6060
Agent,124,16552,1,goal,12.9584,5.5098,0.5748,0.0041,5.5098
Agent,125,16696,1,goal,12.7802,10.8276,0.1528,0.0011,10.8276
Agent,126,16758,1,goal,12.2283,5.2095,0.5740,0.0093,5.2095
Agent,127,16825,1,goal,5.6381,2.5887,0.5408,0.0081,2.5887
Agent,128,16911,1,goal,7.1633,6.1259,0.1448,0.0017,6.1259
Agent,129,17019,1,goal,10.1363,8.9338,0.1186,0.0011,8.9338
Agent,130,17167,1,goal,8.2510,8.8884,-0.0773,-0.0005,8.8884
Agent,131,17233,1,goal,4.7745,2.7044,0.4336,0.0066,2.7044
Agent,132,17291,1,goal,10.8034,6.9518,0.3565,0.0061,6.9518
Agent,133,17339,1,goal,11.6974,7.4125,0.3663,0.0076,7.4125
Agent,134,17491,1,goal,14.7139,6.0771,0.5870,0.0039,6.0771
Agent,135,17673,1,goal,16.9522,2.6152,0.8457,0.0046,2.6152
Agent,136,17839,1,goal,10.8130,6.4582,0.4027,0.0024,6.4582
Agent,137,17891,1,goal,5.6739,3.0843,0.4564,0.0088,3.0843
Agent,138,18081,1,goal,13.9747,10.3419,0.2600,0.0014,10.3419
Agent,139,18237,1,goal,16.3724,12.2882,0.2495,0.0016,12.2882
Agent,140,18320,1,goal,12.0360,8.2384,0.3155,0.0038,8.2384
Agent,141,18455,1,goal,11.7077,3.6652,0.6869,0.0051,3.6652
Agent,142,18520,1,goal,15.6425,4.7674,0.6952,0.0107,4.7674
Agent,143,18667,1,goal,7.4272,2.9878,0.5977,0.0041,2.9878
Agent,144,18778,1,goal,14.2440,8.4100,0.4096,0.0037,8.4100
Agent,145,18845,1,goal,8.1462,2.7421,0.6634,0.0099,2.7421
Agent,146,18882,1,goal,6.6543,3.3543,0.4959,0.0134,3.3543
Agent,147,18963,1,goal,14.1956,6.0252,0.5756,0.0071,6.0252
Agent,148,19067,1,goal,7.1331,4.3287,0.3932,0.0038,4.3287
Agent,149,19181,1,goal,16.1284,9.5214,0.4096,0.0036,9.5214
Agent,150,19315,1,goal,9.0798,5.7870,0.3627,0.0027,5.7870
Agent,151,19541,1,goal,10.7284,12.3917,-0.1550,-0.0007,12.3917
Agent,152,19633,1,goal,6.6841,2.6267,0.6070,0.0066,2.6267
Agent,153,19910,1,goal,8.4678,6.9738,0.1764,0.0006,6.9738
Agent,154,19992,1,goal,13.9628,5.5261,0.6042,0.0074,5.5261
Agent,155,20079,1,goal,15.3070,2.4795,0.8380,0.0096,2.4795
Agent,156,20190,1,goal,8.6847,11.6254,-0.3386,-0.0031,11.6254
Agent,157,20351,1,goal,11.0116,2.9617,0.7310,0.0045,2.9617
Agent,158,20433,1,goal,14.5306,10.8853,0.2509,0.0031,10.8853
Agent,159,20471,1,goal,11.0687,4.7279,0.5729,0.0151,4.7279
Agent,160,20580,1,goal,7.6728,2.5425,0.6686,0.0061,2.5425
Agent,161,21750,1,goal,12.7442,11.9120,0.0653,0.0001,11.9120
Agent,162,21855,1,goal,10.9518,10.8922,0.0054,0.0001,10.8922
Agent,163,21949,1,goal,7.8341,8.5810,-0.0953,-0.0010,8.5810
Agent,164,22123,1,goal,15.0428,3.6006,0.7606,0.0044,3.6006
Agent,165,22165,1,goal,10.2250,2.5644,0.7492,0.0178,2.5644
Agent,1,5000,0,timeout,6.4908,6.4213,0.0107,0.0000,6.4213
Agent,2,10000,0,timeout,14.1470,16.3408,-0.1551,0.0000,16.3408
Agent,3,15000,0,timeout,14.7562,15.0860,-0.0224,0.0000,15.0860
Agent,4,20000,0,timeout,7.3898,7.3289,0.0082,0.0000,7.3289
Agent,5,25000,0,timeout,14.6506,12.0847,0.1751,0.0000,12.0847
Agent,6,30000,0,timeout,9.1433,8.6547,0.0534,0.0000,8.6547
Agent,7,35000,0,timeout,16.7980,17.6465,-0.0505,0.0000,17.6465
Agent,8,40000,0,timeout,15.1603,11.9472,0.2119,0.0000,11.9472
Agent,9,45000,0,timeout,7.7497,7.6916,0.0075,0.0000,7.6916
Agent,10,50000,0,timeout,9.4169,9.0468,0.0393,0.0000,9.0468
Agent,11,55000,0,timeout,10.5953,10.5529,0.0040,0.0000,10.5529
Agent,12,60000,0,timeout,5.3663,10.8444,-1.0208,-0.0002,10.8444
Agent,13,65000,0,timeout,12.5191,14.6950,-0.1738,0.0000,14.6950
Agent,14,70000,0,timeout,13.3046,11.6660,0.1232,0.0000,11.6660
Agent,15,75000,0,timeout,12.8674,10.8468,0.1570,0.0000,10.8468
Agent,16,80000,0,timeout,10.3961,10.3529,0.0042,0.0000,10.3529
Agent,17,85000,0,timeout,13.6240,10.5373,0.2266,0.0000,10.5373
Agent,18,90000,0,timeout,11.3632,10.0573,0.1149,0.0000,10.0573
Agent,19,95000,0,timeout,9.4820,8.3747,0.1168,0.0000,8.3747
Agent,20,100000,0,timeout,10.0619,7.6082,0.2439,0.0000,7.6082
Agent,21,105000,0,timeout,9.8436,9.7979,0.0046,0.0000,9.7979
Agent,22,110000,0,timeout,14.2551,13.5959,0.0462,0.0000,13.5959
Agent,23,115000,0,timeout,13.2781,13.2443,0.0025,0.0000,13.2443
Agent,24,120000,0,timeout,9.9794,9.9344,0.0045,0.0000,9.9344
Agent,25,125000,0,timeout,10.7405,11.6457,-0.0843,0.0000,11.6457
Agent,26,130000,0,timeout,9.9476,8.0530,0.1905,0.0000,8.0530
Agent,27,135000,0,timeout,15.6095,19.6612,-0.2596,-0.0001,19.6612
Agent,28,140000,0,timeout,12.9488,12.9141,0.0027,0.0000,12.9141
Agent,29,145000,0,timeout,15.4922,22.6526,-0.4622,-0.0001,22.6526
Agent,30,150000,0,timeout,11.3979,11.3585,0.0035,0.0000,11.3585
Agent,31,155000,0,timeout,15.6425,15.6138,0.0018,0.0000,15.6138
Agent,32,160000,0,timeout,16.6573,16.6303,0.0016,0.0000,16.6303
Agent,33,165000,0,timeout,16.5984,16.5714,0.0016,0.0000,16.5714
Agent,34,170000,0,timeout,11.6688,10.4119,0.1077,0.0000,10.4119
Agent,35,175000,0,timeout,7.5254,13.6002,-0.8072,-0.0002,13.6002
Agent,36,180000,0,timeout,14.0085,13.9764,0.0023,0.0000,13.9764
Agent,37,185000,0,timeout,16.6634,22.6586,-0.3598,-0.0001,22.6586
Agent,38,190000,0,timeout,12.3137,12.2772,0.0030,0.0000,12.2772
Agent,39,195000,0,timeout,15.8819,12.3345,0.2234,0.0000,12.3345
Agent,40,200000,0,timeout,7.3383,9.1816,-0.2512,-0.0001,9.1816
Agent,41,205000,0,timeout,6.5376,6.4686,0.0106,0.0000,6.4686
