agent_id,episode_id,training_step,success,end_reason,agent_path_length,block_path_length,contact_latency,contact_steps,push_ratio,idle_ratio,action_switch_rate,oscillation_index,path_efficiency,push_efficiency,useful_block_displacement
Agent,51,5685,1,goal,22.1647,13.1779,39,19,0.2714,0.0000,0.0714,0.0000,0.1990,0.4094,9.0746
Agent,52,5816,1,goal,32.7198,12.1564,105,26,0.1985,0.0000,0.1069,0.0076,0.2966,0.3124,10.2226
Agent,53,5931,1,goal,32.3383,15.0331,73,35,0.3043,0.0000,0.0870,0.0000,0.3579,0.4442,14.3654
Agent,54,6015,1,goal,20.7951,6.6445,71,10,0.1190,0.0000,0.0952,0.0238,0.3963,0.2136,4.4419
Agent,1,74,1,goal,21.0000,16.0974,14,24,0.3243,0.0135,0.0000,0.0000,0.2122,0.6170,12.9567
Agent,2,124,1,goal,12.9762,4.5937,42,8,0.1600,0.0200,0.0000,0.0000,0.6920,0.1897,2.4622
Agent,3,217,1,goal,20.5779,5.1124,1,12,0.1290,0.0108,0.0000,0.0000,0.3586,0.0429,0.8820
Agent,4,294,1,goal,26.6316,13.8086,1,24,0.3117,0.0130,0.0000,0.0000,0.2543,0.2994,7.9737
Agent,5,357,1,goal,16.7831,5.7585,51,12,0.1905,0.0159,0.0000,0.0000,0.1855,0.2344,3.9348
Agent,6,533,1,goal,51.3966,23.3432,1,42,0.2386,0.0057,0.0000,0.0000,0.1988,0.1455,7.4807
Agent,7,622,1,goal,24.5088,12.8054,1,29,0.3258,0.0112,0.0000,0.0000,0.1724,0.4909,12.0307
Agent,8,711,1,goal,23.4586,12.8840,42,26,0.2921,0.0112,0.0000,0.0000,0.2620,0.3073,7.2094
Agent,9,750,1,goal,11.9385,3.5303,32,7,0.1795,0.0256,0.0000,0.0000,0.8069,0.0838,1.0004
Agent,10,824,1,goal,17.6603,5.1722,1,14,0.1892,0.0135,0.0000,0.0000,0.4416,0.1768,3.1230
Agent,11,884,1,goal,16.9295,9.1040,38,9,0.1500,0.0167,0.0000,0.0000,0.2863,0.3630,6.1451
Agent,12,987,1,goal,26.7794,13.9648,66,24,0.2330,0.0097,0.0000,0.0000,0.3579,0.2743,7.3461
Agent,13,1031,1,goal,14.5847,11.3023,22,22,0.5000,0.0227,0.0000,0.0000,0.2799,0.3633,5.2989
Agent,14,1176,1,goal,40.4255,13.0816,1,31,0.2138,0.0069,0.0000,0.0000,0.3092,0.1670,6.7527
Agent,15,1313,1,goal,34.3287,17.1387,1,31,0.2263,0.0073,0.0000,0.0000,0.1769,0.2710,9.3019
Agent,16,1546,1,goal,50.5581,21.6259,130,42,0.1803,0.0043,0.0000,0.0000,0.1317,0.1113,5.6262
Agent,17,1611,1,goal,15.1174,5.4323,54,11,0.1692,0.0154,0.0000,0.0000,0.3319,0.2621,3.9619
Agent,18,1687,1,goal,18.7411,10.8003,1,18,0.2368,0.0132,0.0000,0.0000,0.1920,0.3381,6.3371
Agent,19,1795,1,goal,28.6171,14.1331,1,31,0.2870,0.0093,0.0000,0.0000,0.2635,0.4462,12.7683
Agent,20,1860,1,goal,18.1980,5.2161,51,3,0.0462,0.0154,0.0000,0.0000,0.5774,0.1832,3.3338
Agent,21,1956,1,goal,25.5744,16.3696,56,30,0.3125,0.0104,0.0000,0.0000,0.1397,0.2716,6.9466
Agent,22,2058,1,goal,33.6644,15.1220,1,29,0.2843,0.0098,0.0000,0.0000,0.1760,0.3629,12.2181
Agent,23,2151,1,goal,23.4508,12.3907,1,18,0.1935,0.0108,0.0000,0.0000,0.2813,0.2622,6.1482
Agent,24,2266,1,goal,25.1617,16.3762,32,46,0.4000,0.0174,0.0000,0.0000,0.2295,0.1532,3.8551
Agent,25,2401,1,goal,27.2171,3.5269,1,9,0.0667,0.0074,0.0000,0.0000,0.3626,0.0953,2.5936
Agent,26,2630,1,goal,40.4674,19.0489,1,15,0.0655,0.0044,0.0000,0.0000,0.0931,0.1346,5.4466
Agent,27,2681,1,goal,15.4068,11.3982,1,10,0.1961,0.0196,0.0000,0.0000,0.3048,0.3563,5.4897
Agent,28,2826,1,goal,42.3522,4.1597,1,10,0.0690,0.0069,0.0000,0.0000,0.2679,0.0823,3.4862
Agent,29,3015,1,goal,42.1998,33.0028,1,56,0.2963,0.0582,0.0000,0.0000,0.1338,0.2076,8.7601
Agent,30,3120,1,goal,27.0158,3.1930,100,3,0.0286,0.0095,0.0000,0.0000,0.3573,0.0680,1.8383
